Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ghana,GHA,18279898801,34153187523,85797385076,98315093257,1.39946E+11,1.48486E+11,1.42514E+11,1.39277E+11,1.45509E+11,1.5839E+11,1.71926E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greece,GRC,1.35408E+11,2.1098E+11,2.90297E+11,2.79267E+11,2.86169E+11,2.92336E+11,2.91031E+11,2.99854E+11,3.144E+11,3.37732E+11,3.48349E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Grenada,GRD,455559386.4,785803167.2,1187113040,1199574282,1285879277,1420279858,1551090813,1656762122,1798099078,1918176733,1992859147,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guatemala,GTM,30575241984,56120131739,1.02023E+11,1.08206E+11,1.12026E+11,1.18754E+11,1.27566E+11,1.30131E+11,1.33805E+11,1.41471E+11,1.49763E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea,GIN,5608354449,10089469458,18172750191,19125167503,19730520885,20122408008,20799124961,24399990226,29176885980,31740601535,34168977885,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea-Bissau,GNB,987615090.5,1288411408,2249594251,2175252519,2248857564,2332574695,2774674411,3113471484,3519615667,3742357007,3990526569,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guyana,GUY,2268175761,4486396792,7510831415,7916300208,8369731951,8360291166,8593946181,8713910376,9306806134,9956901899,10693585696,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Haiti,HTI,14468971471,17736210477,28338730487,28317570997,29872706670,30562742046,31053001979,32798870135,32738003150,34094815564,34172312015,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Honduras,HND,10168938113,17036736965,33314349144,34844289142,36445584467,39875503508,43955139193,47719049298,52444135530,55707620735,58295920224,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Hong Kong SAR, China",HKG,1.04222E+11,1.88307E+11,3.69685E+11,3.73483E+11,3.85448E+11,3.96044E+11,4.11294E+11,4.19811E+11,4.42388E+11,4.66068E+11,4.69182E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Hungary,HUN,..,1.21085E+11,2.29348E+11,2.30214E+11,2.42367E+11,2.53001E+11,2.63571E+11,2.73926E+11,2.89325E+11,3.20971E+11,3.41619E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iceland,ISL,5597321831,8357232600,13005318870,13446448574,14296625702,14966383106,16157415211,17788597247,18981156544,20791221950,21726637459,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,India,IND,1.04939E+12,2.21421E+12,5.61838E+12,6.15316E+12,6.47752E+12,6.78102E+12,7.1598E+12,7.735E+12,8.28094E+12,9.00176E+12,9.56022E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Indonesia,IDN,5.59131E+11,1.00341E+12,2.22951E+12,2.41344E+12,2.53504E+12,2.62225E+12,2.64771E+12,2.7449E+12,2.89413E+12,3.11789E+12,3.33814E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iran,IRN,4.06818E+11,6.76516E+11,1.34409E+12,1.20487E+12,1.16817E+12,1.18025E+12,1.06659E+12,1.11481E+12,1.17267E+12,1.12885E+12,1.0727E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iraq,IRQ,..,2.25027E+11,4.14644E+11,4.83131E+11,5.1513E+11,4.90957E+11,3.69659E+11,3.62371E+11,4.12028E+11,4.19686E+11,4.46665E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ireland,IRL,48233943874,1.14866E+11,2.05441E+11,2.12759E+11,2.21468E+11,2.37861E+11,3.24612E+11,3.42046E+11,3.75224E+11,4.22486E+11,4.43167E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Israel,ISR,70874111577,1.56786E+11,2.37167E+11,2.50715E+11,2.75197E+11,2.81083E+11,2.96979E+11,3.23333E+11,3.40018E+11,3.68366E+11,3.88367E+11,..
